"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"20172","A",2,"F",1,1,20,2,"B","B","B",417.8,415.6,509.3,399,0,348.34,6
"20184","N",1,"M",1,3,24,1,"B","F","D",655.6,643,600.1,765.4,800,692.82,13
"20189","P",1,"F",1,1,19,1,"B","G","G",583.8,651.2,653.5,714.8,940,708.66,14
"20195","D",1,"F",1,1,18,1,"B","E","E",413,438.1,546.2,419.2,460,455.3,9
"20219","O",1,"F",1,1,36,1,"B","G","F",589.7,657.4,612.7,731.7,840,686.3,13
"20224","O",2,"M",1,1,18,2,"B","G","G",630.4,743.5,632.3,872.9,740,723.82,14
"20236","F",2,"M",1,1,18,2,"B","E","D",548.2,497.9,553.5,558.2,580,547.56,10
"20242","F",1,"M",3,3,23,1,"B","E","E",594.6,603.7,544.8,694.3,740,635.48,12
"20252","F",2,"M",1,1,18,2,"B","D","D",383,390.3,498.3,452.2,340,412.76,8
"20253","P",3,"F",1,1,17,2,"B","G","G",447.1,529,525.5,527.8,600,525.88,10
"20254","J",2,"F",1,1,18,2,"B","F","F",546.6,520.3,541.1,522.9,760,578.18,11
"20260","D",2,"F",1,1,18,2,"A","B","E",566.1,540.2,576.3,556.9,920,631.9,12
"20276","Q",1,"F",1,1,19,1,"B","G","F",482.3,562.8,490.5,490.9,660,537.3,10
"20285","I",3,"F",1,1,18,2,"B","E","G",628.5,606.6,596.6,644.1,660,627.16,12
"20293","G",2,"F",1,1,18,2,"B","B","D",482,527.3,547.3,553.7,520,526.06,10
"20307","I",2,"F",1,1,17,2,"B","E","E",521.1,492.4,558.2,567.6,0,427.86,8
"20311","E",1,"F",1,2,34,1,"B","E","E",360.6,326.3,501.6,386.5,500,415,8
"20323","M",1,"M",1,2,20,1,"B","C","E",425.5,380.9,415.9,463.8,480,433.22,8
"20326","D",2,"M",1,1,19,2,"B","E","F",527.4,581.5,579,580.3,560,565.64,11
"20372","G",1,"F",1,0,27,1,"B","E","E",623.1,701.1,635.2,720.6,340,604,12
"20373","Q",3,"M",1,1,17,2,"B","F","F",627.7,652.4,579.5,764.7,840,692.86,13
"20376","O",3,"M",1,1,17,2,"B","G","F",661.1,666.1,613.1,742.2,820,700.5,14
"20379","C",1,"F",1,1,24,1,"A","F","D",427.2,586.3,643.5,528.4,580,553.08,11
"20395","N",1,"M",1,1,16,3,"B","G","G",512.8,553.8,550.3,554.9,560,546.36,10
"20404","J",1,"M",1,1,22,1,"B","G","E",448.5,397.9,436.5,436.7,460,435.92,8
"20409","E",2,"F",1,1,18,2,"B","C","C",424.1,485.6,562.6,487.2,560,503.9,10
"20422","H",2,"F",0,1,18,2,"B","H","H",475.5,522,528.1,476.9,500,500.5,10
"20430","F",1,"F",1,1,19,1,"B","E","D",536.6,521,530.2,511.4,700,559.84,11
"20432","C",1,"M",1,1,38,1,"B","A","B",494.1,594.1,526.4,407.7,420,488.46,9
"20439","G",1,"F",4,1,57,1,"B","C","B",460.5,559.3,506,515.4,720,552.24,11
"20460","A",1,"M",0,3,25,1,"A","E","E",420.4,504.4,507.8,590.1,480,500.54,10
"20486","D",1,"F",1,0,25,1,"A","H","E",416.4,340.8,429.7,377.9,440,400.96,8
"20488","F",1,"F",1,1,19,1,"B","E","E",603,663.8,571.3,686.1,920,688.84,13
"20489","K",1,"F",1,1,16,3,"B","F","F",585.8,631.1,568.3,704.9,680,634.02,12
"20493","M",1,"F",1,1,17,3,"B","G","F",559.9,610.6,586.8,662.8,680,620.02,12
"20508","I",3,"F",1,1,17,2,"B","G","F",542,573,580.4,503.6,620,563.8,11
"20511","B",2,"F",1,1,18,2,"A","B","B",512.8,561.4,556.6,551.4,660,568.44,11
"20523","J",1,"F",0,1,18,1,"B","D","G",573.3,565.2,559.5,608.6,780,617.32,12
"20527","N",3,"M",1,1,17,2,"B","F","G",595,633.7,569,765.9,600,632.72,12
